ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	7	4	2	0.000000	996.714286	603.714286	0.000000	0.000000	0	1035	0
2	2	1	1	0.000000	27.000000	27.000000	0.000000	0.000000	0	27	0
3	3	2	2	0.000000	940.666667	346.000000	0.000000	0.000000	0	922	0
4	22	1	1	0.000000	15.590909	13.727273	0.000000	0.000000	0	26	0
5	3	1	2	0.000000	62.000000	21.666667	0.000000	0.000000	0	60	0
6	7	2	2	0.000000	86.142857	45.428571	0.000000	0.000000	0	103	0
7	35	2	1	0.000000	67.600000	30.857143	0.000000	0.000000	0	87	0
8	9	1	1	0.000000	59.000000	20.444444	0.000000	0.000000	0	57	0
9	1	2	2	0.000000	798.000000	156.000000	0.000000	0.000000	0	456	0
10	1	1	4	0.000000	2425.000000	1648.000000	0.000000	0.000000	0	2355	0
11	1	4	4	0.000000	2522.000000	1682.000000	0.000000	0.000000	0	2362	0
12	0	1	1	Inf	Inf	Inf	Inf	Inf	0	2183	0
13	1	1	2	0.000000	2316.000000	936.000000	0.000000	0.000000	0	2020	0
14	0	1	2	Inf	Inf	Inf	Inf	Inf	0	1442	0
15	0	4	4	Inf	Inf	Inf	Inf	Inf	0	1514	0
16	2	1	2	0.000000	974.000000	221.500000	0.000000	0.000000	0	1412	0
17	2	2	2	0.000000	1057.500000	239.500000	0.000000	0.000000	0	1495	0
18	84	1	0	0.000000	54.904762	34.928571	0.000000	0.000000	0	80	0
19	5	1	2	0.000000	1967.200000	557.200000	0.000000	0.000000	0	1171	0
20	2	1	2	0.000000	1969.000000	672.000000	0.000000	0.000000	0	1152	0
21	1	1	2	0.000000	2058.000000	1424.000000	0.000000	0.000000	0	1226	0
22	2	2	2	0.000000	2118.000000	1426.000000	0.000000	0.000000	0	1252	0
23	316	0	2	0.000000	147.401899	89.297468	0.000000	0.000000	0	182	0
24	128	2	0	0.000000	60.976562	53.562500	0.000000	0.000000	0	111	0
25	1	1	1	0.000000	406.000000	397.000000	0.000000	0.000000	0	168	0
26	0	1	2	Inf	Inf	Inf	Inf	Inf	0	667	0
27	72	0	0	0.000000	58.527778	17.597222	0.000000	0.000000	0	624	0
28	1	2	1	0.000000	1623.000000	308.000000	0.000000	0.000000	0	503	0
29	54	1	0	0.000000	144.259259	116.962963	0.000000	0.000000	0	90	0
30	321	3	0	0.000000	64.404984	58.601246	0.000000	0.000000	0	3028	0
31	5	2	1	0.000000	3001.200000	2590.200000	0.000000	0.000000	0	3067	0
32	2	1	3	0.000000	2981.000000	2527.000000	0.000000	0.000000	0	2977	0
33	8	1	2	0.000000	2910.250000	2383.875000	0.000000	0.000000	0	3059	0
34	19	1	2	0.000000	1329.684211	1138.157895	0.000000	0.000000	0	2881	0
35	3	3	2	0.000000	395.333333	315.666667	0.000000	0.000000	0	453	0
36	1	2	1	0.000000	48.000000	48.000000	0.000000	0.000000	0	48	0
37	3	2	1	0.000000	44.666667	44.666667	0.000000	0.000000	0	46	0
38	9	2	1	0.000000	50.444444	50.444444	0.000000	0.000000	0	74	0
39	2	2	2	0.000000	64.000000	64.000000	0.000000	0.000000	0	69	0
40	22	1	1	0.000000	30.136364	25.954545	0.000000	0.000000	0	51	0
41	57	1	1	0.000000	29.842105	14.035088	0.000000	0.000000	0	50	0
42	1	1	2	0.000000	68.000000	18.000000	0.000000	0.000000	0	484	0
43	1	1	2	0.000000	2422.000000	118.000000	0.000000	0.000000	0	2346	0
44	1	2	2	0.000000	2497.000000	112.000000	0.000000	0.000000	0	2299	0
45	3	2	1	0.000000	2446.666667	39.666667	0.000000	0.000000	0	2332	0
46	1	2	1	0.000000	2431.000000	113.000000	0.000000	0.000000	0	2228	0
47	1	2	1	0.000000	2392.000000	109.000000	0.000000	0.000000	0	2112	0
48	1	3	1	0.000000	2366.000000	109.000000	0.000000	0.000000	0	2120	0
